CUENTA;FECHA VISITA;EFECTIVA
388284259;2/05/2024;0
569990582;2/05/2024;0
190656991;2/05/2024;0
479859170;3/05/2024;0
436627410;3/05/2024;0
479857506;3/05/2024;0
435765350;3/05/2024;0
435805783;3/05/2024;0
231477108;3/05/2024;0
193367013;3/05/2024;0
206353509;3/05/2024;0
206607463;4/05/2024;0
208450733;8/05/2024;0
301284600;8/05/2024;0
201011493;9/05/2024;0
202618503;10/05/2024;0
534587118;6/05/2024;0
333144406;6/05/2024;0
262920289;7/05/2024;0
252108634;7/05/2024;0
237870111;7/05/2024;0
226459652;7/05/2024;0
511665212;7/05/2024;0
523913239;7/05/2024;0
572514834;7/05/2024;0
227050210;8/05/2024;0
252294424;8/05/2024;0
226010775;8/05/2024;0
544588742;9/05/2024;0
227168202;9/05/2024;0
226694867;9/05/2024;0
575176341;9/05/2024;0
546622291;10/05/2024;0
205754595;11/05/2024;0
209553700;14/05/2024;1
213297546;14/05/2024;1
191195734;16/05/2024;1
224857338;16/05/2024;1
254220701;17/05/2024;1
208827643;20/05/2024;1
208819338;20/05/2024;1
381544671;15/05/2024;0
511781709;15/05/2024;0
190605649;24/05/2024;0
505131321;23/05/2024;0
199843496;23/01/2024;1
228662394;21/05/2024;0
228351347;21/05/2024;0
239120915;22/05/2024;0
477361060;25/01/2024;1
527072339;20/05/2024;0
209314467;27/05/2024;0
190320291;30/05/2024;0
577243958;30/05/2024;0
577242171;30/05/2024;0
379046605;31/05/2024;0
554887003;31/05/2024;0
475867869;4/06/2024;0
404927662;4/06/2024;0
192471108;5/06/2024;0
472627982;5/06/2024;0
379046605;6/06/2024;0
472627982;6/06/2024;0
379047492;7/06/2024;0
202822304;8/06/2024;0
529084680;8/06/2024;0
515421690;5/06/2024;0
529084680;11/06/2024;0
190498617;12/06/2024;0
404985432;12/06/2024;0
480092637;12/06/2024;0
193377992;13/06/2024;0
199919228;14/06/2024;0
513560358;14/06/2024;0
570390556;14/06/2024;0
514364901;14/06/2024;0
540075991;14/06/2024;0
449387077;17/06/2024;0
472627982;18/06/2024;0
191020759;19/06/2024;0
210687068;19/06/2024;0
200247577;20/06/2024;0
525205193;22/06/2024;0
527157263;21/06/2024;0
555017333;24/06/2024;0
194879320;24/06/2024;0
549412555;24/06/2024;0
404985432;25/06/2024;0
217042168;3/07/2024;0
216797128;3/07/2024;0
263067120;2/07/2024;0
516222702;3/07/2024;0
546622291;3/07/2024;0
200676565;3/07/2024;0
200078447;3/07/2024;0
209314467;4/07/2024;0
427226697;4/07/2024;0
219882878;5/07/2024;0
193416538;8/07/2024;0
248399883;9/07/2024;0
579657811;9/07/2024;0
203022957;9/07/2024;0
193684801;12/07/2024;0
197179548;12/07/2024;0
248784157;12/07/2024;0
272084515;13/07/2024;0
494385863;16/07/2024;0
279064050;17/07/2024;0
358604794;18/07/2024;0
206607463;19/07/2024;0
218298808;23/07/2024;0
218245992;22/07/2024;0
190337639;22/07/2024;0
196586275;22/07/2024;0
202618503;23/07/2024;0
231165284;23/07/2024;0
231164507;23/07/2024;0
190334398;25/07/2024;0
554887003;25/07/2024;0
194979197;26/07/2024;0
230458298;26/07/2024;0
196840388;26/07/2024;0
216757532;26/07/2024;0
532289683;26/07/2024;0
371044909;26/07/2024;0
476874346;1/04/2024;1
561515815;1/04/2024;1
407429078;2/04/2024;1
263085304;2/04/2024;1
501177093;1/08/2024;0
268181518;1/08/2024;0
217858035;1/08/2024;0
257170166;1/08/2024;0
268199743;1/08/2024;0
214472376;1/08/2024;0
529221429;1/08/2024;0
194321694;1/08/2024;0
207329433;1/08/2024;0
531053791;1/08/2024;0
520509137;1/08/2024;0
231679206;1/08/2024;0
468585572;1/08/2024;0
539672676;1/08/2024;0
539675917;1/08/2024;0
533276212;1/08/2024;0
541045123;1/08/2024;0
192471108;1/08/2024;0
190984535;1/08/2024;0
215878075;1/08/2024;0
192045361;1/08/2024;0
234743311;1/08/2024;0
217209675;1/08/2024;0
206705666;1/08/2024;0
216527291;1/08/2024;0
263085304;1/08/2024;0
216209716;1/08/2024;0
209163511;3/04/2024;1
468585572;3/04/2024;1
220211752;2/08/2024;0
468149056;3/04/2024;1
216577756;5/08/2024;0
217209675;4/04/2024;1
214121633;5/08/2024;0
268199743;4/04/2024;1
230157010;1/04/2024;0
191476164;1/04/2024;0
214293377;1/04/2024;0
540319176;1/04/2024;0
521323618;1/04/2024;0
196856949;1/04/2024;0
539148726;1/04/2024;0
191340998;4/04/2024;1
197690178;2/04/2024;0
486821287;4/04/2024;1
255492151;2/04/2024;0
417706917;2/04/2024;0
529221429;5/04/2024;1
501177093;5/04/2024;1
268181518;5/04/2024;1
234743311;8/04/2024;1
494462531;9/04/2024;1
251928839;4/04/2024;0
210726604;10/04/2024;1
315064601;11/04/2024;1
307477030;11/04/2024;1
486554954;2/04/2024;0
531992673;3/04/2024;0
504443306;3/04/2024;0
487499647;4/04/2024;0
551013699;4/04/2024;0
227915602;11/04/2024;1
234984318;8/04/2024;0
270312221;8/04/2024;0
217556080;11/04/2024;1
474506308;10/04/2024;0
474488487;10/04/2024;0
365225241;11/04/2024;0
478140760;12/04/2024;0
536717247;12/04/2024;0
203976613;12/04/2024;1
575741401;12/04/2024;1
228066730;9/04/2024;0
255396412;12/04/2024;1
258487854;12/04/2024;1
349524987;13/04/2024;1
473316894;16/04/2024;1
191392017;16/04/2024;1
525000654;19/04/2024;1
251928839;22/04/2024;1
265198209;23/04/2024;1
191384702;23/04/2024;1
567845357;23/04/2024;1
235239178;15/04/2024;0
206621519;15/04/2024;0
316444960;15/04/2024;0
196804910;15/04/2024;0
202052715;15/04/2024;0
490819087;15/04/2024;0
199843496;15/04/2024;0
475604550;15/04/2024;0
498581885;15/04/2024;0
215752778;15/04/2024;0
270312221;15/04/2024;0
239713179;15/04/2024;0
213655444;15/04/2024;0
196750490;15/04/2024;0
256218996;16/04/2024;0
232297281;16/04/2024;0
278897475;16/04/2024;0
389064736;16/04/2024;0
196948401;16/04/2024;0
234984318;16/04/2024;0
196824768;16/04/2024;0
561517489;16/04/2024;0
501063229;16/04/2024;0
220585484;24/04/2024;1
262972308;16/04/2024;0
252994973;16/04/2024;0
231869951;16/04/2024;0
196162241;16/04/2024;0
570613006;24/04/2024;1
481255875;16/04/2024;0
218928034;16/04/2024;0
202486718;16/04/2024;0
298344338;16/04/2024;0
466555047;16/04/2024;0
467104606;16/04/2024;0
230488905;16/04/2024;0
192436427;16/04/2024;0
215875624;16/04/2024;0
217260976;16/04/2024;0
209753324;17/04/2024;0
230564706;17/04/2024;0
256218996;17/04/2024;0
202543548;17/04/2024;0
220276001;17/04/2024;0
220410509;17/04/2024;0
263687650;17/04/2024;0
202582357;17/04/2024;0
231764289;17/04/2024;0
220747086;17/04/2024;0
248818739;17/04/2024;0
248812047;17/04/2024;0
202263005;17/04/2024;0
265123081;17/04/2024;0
536717247;18/04/2024;0
577243958;18/04/2024;0
577242171;18/04/2024;0
193381179;18/04/2024;0
193873789;18/04/2024;0
201056994;18/04/2024;0
272533198;18/04/2024;0
213811354;18/04/2024;0
199938299;18/04/2024;0
235611122;18/04/2024;0
507924917;18/04/2024;0
219069293;18/04/2024;0
532217706;18/04/2024;0
557048645;18/04/2024;0
213536616;18/04/2024;0
262959039;18/04/2024;0
216833423;18/04/2024;0
196848634;18/04/2024;0
192008116;24/04/2024;1
230476472;19/04/2024;0
263640595;19/04/2024;0
196721550;19/04/2024;0
514927348;19/04/2024;0
214314739;19/04/2024;0
532289683;19/04/2024;0
207153834;19/04/2024;0
192049599;19/04/2024;0
195358739;25/04/2024;1
231632131;25/04/2024;1
379047492;22/04/2024;0
